seed,r,nmse_test,nmse_test_noiseless,success,f1_score,f1_score_noiseless,expression,traversal,error_true_divide,error_node_divide,error_node_invalid,n_samples,n_cached,t
14,0.12101724641917568,3.3086969103790964,3.3086969103790964,False,0.12101724641917568,0.12101724641917568,"product_norm(product_norm(x8, x9), fuzzy_not(product_s_implication(x1, fuzzy_not(lukasiewicz_r_implication(lukasiewicz_r_implication(x13, fuzzy_not(x13)), lukasiewicz_s_implication(fuzzy_not(x6), x15))))))","product_norm,product_norm,x8,x9,fuzzy_not,product_s_implication,x1,fuzzy_not,lukasiewicz_r_implication,lukasiewicz_r_implication,x13,fuzzy_not,x13,lukasiewicz_s_implication,fuzzy_not,x6,x15",7450,6460,990,50000,33111,15554.394088745117
3,0.14683153013910358,1.2147660089985108,1.2147660089985108,False,0.14683153013910358,0.14683153013910358,"lukasiewicz_norm(x16, product_s_implication(x2, fuzzy_not(lukasiewicz_conorm(fuzzy_not(fuzzy_not(x9)), x3))))","lukasiewicz_norm,x16,product_s_implication,x2,fuzzy_not,lukasiewicz_conorm,fuzzy_not,fuzzy_not,x9,x3",5981,5270,711,50000,33238,16367.804754018784
11,0.11914893617021274,2.049917640184987,2.049917640184987,False,0.11914893617021274,0.11914893617021274,"lukasiewicz_r_implication(x3, product_norm(product_norm(x16, fuzzy_not(x9)), lukasiewicz_norm(x3, godel_r_implication(x1, x11))))","lukasiewicz_r_implication,x3,product_norm,product_norm,x16,fuzzy_not,x9,lukasiewicz_norm,x3,godel_r_implication,x1,x11",5525,4583,942,50000,33025,16457.258121728897
5,0.1277795176949577,3.064423310743526,3.064423310743526,False,0.1277795176949577,0.1277795176949577,"product_s_implication(x3, fuzzy_not(product_s_implication(fuzzy_not(product_s_implication(x16, x12)), x11)))","product_s_implication,x3,fuzzy_not,product_s_implication,fuzzy_not,product_s_implication,x16,x12,x11",4897,4134,763,50000,32808,16527.327944278717
10,0.1135135135135135,1.8045437090195269,1.8045437090195269,False,0.1135135135135135,0.1135135135135135,"godel_norm(x4, fuzzy_not(product_norm(x3, fuzzy_not(fuzzy_not(x3)))))","godel_norm,x4,fuzzy_not,product_norm,x3,fuzzy_not,fuzzy_not,x3",5740,5016,724,50000,33310,16542.088381528854
12,0.1170814479638009,3.4352350363164414,3.4352350363164414,False,0.1170814479638009,0.1170814479638009,"product_norm(product_norm(product_norm(x9, godel_r_implication(godel_r_implication(fuzzy_not(product_norm(x6, x1)), godel_r_implication(x7, godel_conorm(x10, fuzzy_not(x2)))), x10)), x1), x13)","product_norm,product_norm,product_norm,x9,godel_r_implication,godel_r_implication,fuzzy_not,product_norm,x6,x1,godel_r_implication,x7,godel_conorm,x10,fuzzy_not,x2,x10,x1,x13",5216,4412,804,50000,33611,16770.634304761887
9,0.12660550458715594,3.142546849365713,3.142546849365713,False,0.12660550458715594,0.12660550458715594,"fuzzy_not(fuzzy_not(fuzzy_not(product_r_implication(godel_conorm(x3, x14), fuzzy_not(product_norm(godel_norm(x13, x11), lukasiewicz_norm(x1, fuzzy_not(fuzzy_not(x9)))))))))","fuzzy_not,fuzzy_not,fuzzy_not,product_r_implication,godel_conorm,x3,x14,fuzzy_not,product_norm,godel_norm,x13,x11,lukasiewicz_norm,x1,fuzzy_not,fuzzy_not,x9",4790,4165,625,50000,33406,16924.646018505096
1,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"lukasiewicz_norm(godel_norm(product_norm(product_norm(godel_conorm(fuzzy_not(godel_r_implication(product_conorm(fuzzy_not(x9), x11), fuzzy_not(x15))), x13), x1), godel_norm(x4, x1)), x13), x9)","lukasiewicz_norm,godel_norm,product_norm,product_norm,godel_conorm,fuzzy_not,godel_r_implication,product_conorm,fuzzy_not,x9,x11,fuzzy_not,x15,x13,x1,godel_norm,x4,x1,x13,x9",4795,4073,722,50000,33974,17070.032882213593
15,0.14798453892876864,1.6978115506202012,1.6978115506202012,False,0.14798453892876864,0.14798453892876864,"fuzzy_not(fuzzy_not(fuzzy_not(godel_conorm(product_norm(product_norm(x3, x2), fuzzy_not(x16)), fuzzy_not(product_norm(fuzzy_not(x16), x1))))))","fuzzy_not,fuzzy_not,fuzzy_not,godel_conorm,product_norm,product_norm,x3,x2,fuzzy_not,x16,fuzzy_not,product_norm,fuzzy_not,x16,x1",4013,3440,573,50000,33561,17071.344145059586
0,0.12040557667934094,1.5272601634872582,1.5272601634872582,False,0.12040557667934094,0.12040557667934094,"godel_r_implication(x11, product_norm(fuzzy_not(lukasiewicz_conorm(x3, fuzzy_not(x16))), fuzzy_not(fuzzy_not(fuzzy_not(godel_r_implication(fuzzy_not(product_conorm(product_norm(x1, x4), x10)), x4))))))","godel_r_implication,x11,product_norm,fuzzy_not,lukasiewicz_conorm,x3,fuzzy_not,x16,fuzzy_not,fuzzy_not,fuzzy_not,godel_r_implication,fuzzy_not,product_conorm,product_norm,x1,x4,x10,x4",5028,4461,567,50000,34108,17122.26407933235
6,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"product_norm(fuzzy_not(fuzzy_not(fuzzy_not(fuzzy_not(x13)))), lukasiewicz_norm(fuzzy_not(fuzzy_not(x1)), lukasiewicz_norm(godel_conorm(x9, x12), x4)))","product_norm,fuzzy_not,fuzzy_not,fuzzy_not,fuzzy_not,x13,lukasiewicz_norm,fuzzy_not,fuzzy_not,x1,lukasiewicz_norm,godel_conorm,x9,x12,x4",5949,5133,816,50000,34938,17122.89580988884
13,0.12332439678284185,2.518658871918108,2.518658871918108,False,0.12332439678284185,0.12332439678284185,"product_norm(x13, fuzzy_not(fuzzy_not(godel_norm(godel_r_implication(fuzzy_not(godel_norm(x1, fuzzy_not(godel_r_implication(x1, fuzzy_not(x4))))), x16), x8))))","product_norm,x13,fuzzy_not,fuzzy_not,godel_norm,godel_r_implication,fuzzy_not,godel_norm,x1,fuzzy_not,godel_r_implication,x1,fuzzy_not,x4,x16,x8",4587,3838,749,50000,33815,17140.264281988144
8,0.13199611776124234,2.9521894946947507,2.9521894946947507,False,0.13199611776124234,0.13199611776124234,"fuzzy_not(fuzzy_not(fuzzy_not(product_norm(fuzzy_not(fuzzy_not(x11)), product_r_implication(product_s_implication(x3, fuzzy_not(fuzzy_not(x9))), godel_s_implication(x16, x3))))))","fuzzy_not,fuzzy_not,fuzzy_not,product_norm,fuzzy_not,fuzzy_not,x11,product_r_implication,product_s_implication,x3,fuzzy_not,fuzzy_not,x9,godel_s_implication,x16,x3",3917,3334,583,50000,33959,17323.90925359726
7,0.14394278050961107,2.107134879739265,2.107134879739265,False,0.14394278050961107,0.14394278050961107,"product_s_implication(x1, lukasiewicz_norm(lukasiewicz_norm(x4, product_norm(godel_norm(x9, godel_s_implication(x10, x1)), lukasiewicz_norm(x13, x13))), x8))","product_s_implication,x1,lukasiewicz_norm,lukasiewicz_norm,x4,product_norm,godel_norm,x9,godel_s_implication,x10,x1,lukasiewicz_norm,x13,x13,x8",3605,3051,554,50000,33746,17457.44611978531
2,0.13766566908935446,2.2193686957880403,2.2193686957880403,False,0.13766566908935446,0.13766566908935446,"fuzzy_not(lukasiewicz_s_implication(fuzzy_not(fuzzy_not(fuzzy_not(product_s_implication(fuzzy_not(lukasiewicz_norm(x14, x13)), godel_s_implication(x4, fuzzy_not(x9)))))), fuzzy_not(godel_norm(x13, x1))))","fuzzy_not,lukasiewicz_s_implication,fuzzy_not,fuzzy_not,fuzzy_not,product_s_implication,fuzzy_not,lukasiewicz_norm,x14,x13,godel_s_implication,x4,fuzzy_not,x9,fuzzy_not,godel_norm,x13,x1",3454,2984,470,50000,34128,17575.931007385254
4,0.13209955328653478,2.9929017613006788,2.9929017613006788,False,0.13209955328653478,0.13209955328653478,"lukasiewicz_norm(fuzzy_not(godel_norm(fuzzy_not(godel_norm(x8, product_norm(godel_norm(lukasiewicz_r_implication(x13, lukasiewicz_norm(fuzzy_not(lukasiewicz_norm(fuzzy_not(x1), x13)), x9)), x13), x11))), x9)), x1)","lukasiewicz_norm,fuzzy_not,godel_norm,fuzzy_not,godel_norm,x8,product_norm,godel_norm,lukasiewicz_r_implication,x13,lukasiewicz_norm,fuzzy_not,lukasiewicz_norm,fuzzy_not,x1,x13,x9,x13,x11,x9,x1",3170,2772,398,50000,33722,17608.99107170105
